MatchID,TeamID,Time,Scorer,Assist,IsOwnGoal,IsPenalty
760470,465,31',Baris Alper Yilmaz,Orkun Kökçü,False,False
760470,660,49',Sebastian Berhalter,None,False,False
760470,465,90'+8',Kaan Ayhan,None,False,False
760475,478,7',Ousmane Dembélé,Kylian Mbappé,False,False
760475,478,20',Ousmane Dembélé,Kylian Mbappé,False,False
760475,464,21',Thelo Aasgaard,Andreas Schjelderup,False,False
760475,478,32',Ousmane Dembélé,Aurélien Tchouaméni,False,False
760475,478,90'+4',Désiré Doué,Bradley Barcola,False,False
760474,654,4',Habib Diarra,Abdoulaye Seck,False,False
760474,654,56',Ismaïla Sarr,Lamine Camara,False,False
760474,654,59',Pape Gueye,Ismaïla Sarr,False,False
760474,654,71',Pape Gueye,Iliman Ndiaye,False,False
760474,654,82',Iliman Ndiaye,Pape Gueye,False,False
760479,164,42',Álex Baena,Marcos Llorente,False,False
760476,2620,5',Mahmoud Saber,Trézéguet,False,False
760476,469,14',Ramin Rezaeian,None,False,False
760477,459,28',Leandro Trossard,None,False,False
760477,459,50',Leandro Trossard,Hans Vanaken,False,False
760477,459,66',Kevin De Bruyne,None,False,False
760477,2666,84',Elijah Just,None,False,False
760477,459,86',Romelu Lukaku,Nicolas Raskin,False,False
760477,459,90'+4',Alexis Saelemaekers,Romelu Lukaku,False,False
760480,477,31',Petar Sucic,Mateo Kovacic,False,False
760480,4469,73',Derrick Luckassen,Ernest Nuamah,False,False
760480,477,83',Nikola Vlasic,Luka Modric,False,False
760485,448,62',Jude Bellingham,Bukayo Saka,False,False
760485,448,67',Harry Kane,Jude Bellingham,False,False
760482,2570,10',Eldor Shomurodov,Akmal Mozgovoy,False,False
760482,2850,68',Yoane Wissa,None,False,True
760482,2850,78',Fiston Mayele,None,False,False
760482,2850,90'+1',Yoane Wissa,Meschack Elia,False,False
760484,474,28',Marko Arnautovic,David Alaba,False,False
760484,624,45',Rafik Belghali,None,False,False
760484,474,55',Marcel Sabitzer,Konrad Laimer,False,False
760484,624,60',Riyad Mahrez,Houssem Aouar,False,False
760484,624,90'+3',Riyad Mahrez,Houssem Aouar,False,False
760484,474,90'+6',Sasa Kalajdzic,Michael Gregoritsch,False,False
760483,202,19',Giovani Lo Celso,None,False,False
760483,202,31',Lautaro Martínez,None,False,True
760483,2917,55',Mousa Al-Tamari,Ehsan Haddad,False,False
760483,202,80',Lionel Messi,None,False,False
760486,206,90'+2',Stephen Eustáquio,None,False,False
760487,627,29',Kaishu Sano,None,False,False
760487,205,56',Casemiro,Gabriel Magalhães,False,False
760487,205,90'+5',Gabriel Martinelli,Bruno Guimarães,False,False
760489,210,42',Julio Enciso,Matías Galarza,False,False
760489,481,54',Kai Havertz,Florian Wirtz,False,False
760488,449,72',Cody Gakpo,Crysencio Summerville,False,False
760488,2869,90'+1',Issa Diop,Chemsdine Talbi,False,False
760490,464,39',Antonio Nusa,Martin Ødegaard,False,False
760490,4789,74',Amad Diallo,Nicolas Pépé,False,False
760490,464,86',Erling Haaland,Patrick Berg,False,False
760492,478,45',Kylian Mbappé,Ousmane Dembélé,False,False
760492,478,53',Bradley Barcola,Michael Olise,False,False
760492,478,74',Kylian Mbappé,Michael Olise,False,False
760491,203,22',Julián Quiñones,Roberto Alvarado,False,False
760491,203,31',Raúl Jiménez,Julián Quiñones,False,False
760495,2850,7',Brian Cipenga,Chancel Mbemba,False,False
760495,448,75',Harry Kane,Anthony Gordon,False,False
760495,448,86',Harry Kane,Anthony Gordon,False,False
760493,654,24',Habib Diarra,None,False,False
760493,654,51',Ismaïla Sarr,Moussa Niakhaté,False,False
760493,459,86',Romelu Lukaku,Thomas Meunier,False,False
760493,459,89',Youri Tielemans,Leandro Trossard,False,False
760493,459,120'+5',Youri Tielemans,None,False,True
760494,660,45',Folarin Balogun,None,False,False
760494,660,82',Malik Tillman,None,False,False
760497,164,36',Mikel Oyarzabal,Marc Cucurella,False,False
760497,164,66',Pedro Porro,Álex Baena,False,False
760497,164,89',Mikel Oyarzabal,Marc Cucurella,False,False
